stateabbr,statedesc,locationname,measureid,measure,category,data_value,indicator_90th_percentile
LA,Louisiana,St. Charles,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,80.4,78.6
LA,Louisiana,St. Landry,STROKE,Stroke among adults,Health Outcomes,4.7,4.1
LA,Louisiana,Evangeline,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,16.0,14.3
LA,Louisiana,Caddo,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,82.2,78.9
LA,Louisiana,Richland,STROKE,Stroke among adults,Health Outcomes,4.4,4.1
LA,Louisiana,Richland,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,14.5,13.4
LA,Louisiana,Acadia,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,14.3,14.3
LA,Louisiana,Madison,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,21.5,13.4
ME,Maine,Franklin,DEPRESSION,Depression among adults,Health Outcomes,30.1,28.4
LA,Louisiana,Rapides,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,80.3,78.9
LA,Louisiana,Claiborne,COGNITION,Cognitive disability among adults,Disability,24.7,20.4
KY,Kentucky,Robertson,SLEEP,Short sleep duration among adults,Health Risk Behaviors,42.4,42.3
LA,Louisiana,Tangipahoa,ARTHRITIS,Arthritis among adults,Health Outcomes,28.0,28.0
LA,Louisiana,Morehouse,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,66.3,62.5
LA,Louisiana,Jackson,COGNITION,Cognitive disability among adults,Disability,21.3,20.4
LA,Louisiana,St. Mary,DEPRESSION,Depression among adults,Health Outcomes,28.6,28.4
LA,Louisiana,St. Charles,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,80.4,78.9
KY,Kentucky,Anderson,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,63.4,63.1
KY,Kentucky,Woodford,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,65.6,63.1
LA,Louisiana,East Feliciana,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,34.8,34.8
LA,Louisiana,Livingston,DEPRESSION,Depression among adults,Health Outcomes,29.9,28.4
LA,Louisiana,Vermilion,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,34.8,34.8
ME,Maine,Penobscot,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.8,78.9
KY,Kentucky,Harlan,SLEEP,Short sleep duration among adults,Health Risk Behaviors,45.3,42.3
LA,Louisiana,Bienville,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,17.3,13.4
LA,Louisiana,Caldwell,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,23.6,20.8
LA,Louisiana,St. Bernard,BPHIGH,High blood pressure among adults,Health Outcomes,40.3,39.8
LA,Louisiana,Bossier,SLEEP,Short sleep duration among adults,Health Risk Behaviors,42.9,42.3
MI,Michigan,Alger,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,65.3,63.1
LA,Louisiana,Vermilion,MHLTH,Frequent mental distress among adults,Health Status,21.5,21.0
LA,Louisiana,East Carroll,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,27.8,14.3
LA,Louisiana,Lincoln,SELFCARE,Self-care disability among adults,Disability,5.6,5.4
MA,Massachusetts,Nantucket,CHOLSCREEN,Cholesterol screening among adults,Prevention,90.0,85.9
LA,Louisiana,Jefferson,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,80.0,78.6
ME,Maine,Cumberland,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,81.3,78.6
LA,Louisiana,Catahoula,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,26.8,24.0
LA,Louisiana,St. Mary,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,14.2,13.4
LA,Louisiana,De Soto,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,27.5,26.2
LA,Louisiana,Washington,VISION,Vision disability among adults,Disability,7.7,7.6
KS,Kansas,Johnson,CHOLSCREEN,Cholesterol screening among adults,Prevention,86.7,85.9
LA,Louisiana,Bienville,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,35.1,26.2
LA,Louisiana,Sabine,OBESITY,Obesity among adults,Health Outcomes,44.9,43.0
ME,Maine,Hancock,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,64.2,63.1
LA,Louisiana,East Carroll,COGNITION,Cognitive disability among adults,Disability,26.4,20.4
LA,Louisiana,Iberia,INDEPLIVE,Independent living disability among adults,Disability,12.0,11.6
KY,Kentucky,Perry,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,27.8,24.0
LA,Louisiana,Morehouse,SELFCARE,Self-care disability among adults,Disability,7.0,5.4
ME,Maine,Knox,CASTHMA,Current asthma among adults,Health Outcomes,12.1,11.8
LA,Louisiana,Madison,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,82.0,78.9
LA,Louisiana,Jefferson Davis,COGNITION,Cognitive disability among adults,Disability,20.8,20.4
LA,Louisiana,Claiborne,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,28.4,20.2
KY,Kentucky,Magoffin,SLEEP,Short sleep duration among adults,Health Risk Behaviors,43.9,42.3
LA,Louisiana,Avoyelles,COGNITION,Cognitive disability among adults,Disability,23.3,20.4
LA,Louisiana,Red River,DIABETES,Diagnosed diabetes among adults,Health Outcomes,16.1,14.2
MI,Michigan,Alcona,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.7,7.6
LA,Louisiana,Franklin,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,31.1,24.0
LA,Louisiana,Winn,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,13.6,13.4
LA,Louisiana,St. Landry,GHLTH,Fair or poor self-rated health status among adults,Health Status,30.5,26.9
KY,Kentucky,Edmonson,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,28.7,24.0
MD,Maryland,Talbot,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,66.3,63.1
LA,Louisiana,Washington,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,28.1,26.2
MA,Massachusetts,Hampshire,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.7,7.6
LA,Louisiana,St. Mary,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,15.6,14.3
LA,Louisiana,Caldwell,SELFCARE,Self-care disability among adults,Disability,5.7,5.4
LA,Louisiana,St. Martin,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.6,78.9
LA,Louisiana,East Feliciana,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,79.9,78.6
MA,Massachusetts,Bristol,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,82.0,78.6
KY,Kentucky,Adair,SLEEP,Short sleep duration among adults,Health Risk Behaviors,44.7,42.3
MI,Michigan,Clare,ARTHRITIS,Arthritis among adults,Health Outcomes,28.2,28.0
LA,Louisiana,East Carroll,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,46.8,26.2
LA,Louisiana,Jackson,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,14.7,14.3
LA,Louisiana,St. Tammany,CHOLSCREEN,Cholesterol screening among adults,Prevention,86.4,85.9
ME,Maine,Cumberland,CHOLSCREEN,Cholesterol screening among adults,Prevention,86.0,85.9
LA,Louisiana,Pointe Coupee,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,30.3,29.0
MA,Massachusetts,Norfolk,CHOLSCREEN,Cholesterol screening among adults,Prevention,90.0,85.9
MI,Michigan,Cheboygan,DEPRESSION,Depression among adults,Health Outcomes,29.3,28.4
LA,Louisiana,Union,INDEPLIVE,Independent living disability among adults,Disability,12.0,11.6
LA,Louisiana,Tensas,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,32.6,24.0
LA,Louisiana,Catahoula,DIABETES,Diagnosed diabetes among adults,Health Outcomes,15.0,14.2
LA,Louisiana,St. Bernard,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.7,78.9
LA,Louisiana,Tensas,VISION,Vision disability among adults,Disability,10.2,7.6
MA,Massachusetts,Nantucket,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,74.9,67.4
LA,Louisiana,East Carroll,LONELINESS,Loneliness among adults,Health-Related Social Needs,41.8,38.1
LA,Louisiana,Franklin,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.4,34.8
LA,Louisiana,Jackson,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,26.7,26.2
LA,Louisiana,Acadia,BPHIGH,High blood pressure among adults,Health Outcomes,40.8,39.8
MI,Michigan,Charlevoix,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,64.5,63.1
LA,Louisiana,St. Bernard,DISABILITY,Any disability among adults,Disability,40.6,39.4
LA,Louisiana,Jefferson,LONELINESS,Loneliness among adults,Health-Related Social Needs,38.1,38.1
LA,Louisiana,Sabine,CHD,Coronary heart disease among adults,Health Outcomes,7.3,7.0
LA,Louisiana,Red River,SELFCARE,Self-care disability among adults,Disability,6.5,5.4
LA,Louisiana,Acadia,STROKE,Stroke among adults,Health Outcomes,4.2,4.1
ME,Maine,Penobscot,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,81.2,78.6
LA,Louisiana,Madison,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,25.5,14.3
MD,Maryland,Carroll,CHOLSCREEN,Cholesterol screening among adults,Prevention,87.8,85.9
LA,Louisiana,Bienville,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,25.0,20.2
MA,Massachusetts,Barnstable,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,66.7,63.1
LA,Louisiana,Avoyelles,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,28.9,22.1
LA,Louisiana,Red River,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,23.7,20.8
LA,Louisiana,Avoyelles,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,64.2,62.5
LA,Louisiana,St. James,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,31.6,29.0
KS,Kansas,Miami,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,68.3,67.4
LA,Louisiana,Madison,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,30.9,20.2
LA,Louisiana,Rapides,MHLTH,Frequent mental distress among adults,Health Status,21.1,21.0
LA,Louisiana,Jackson,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.7,78.9
LA,Louisiana,Red River,BPHIGH,High blood pressure among adults,Health Outcomes,43.9,39.8
LA,Louisiana,Claiborne,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,80.8,78.9
LA,Louisiana,Pointe Coupee,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,63.5,62.5
KS,Kansas,Shawnee,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.3,34.8
LA,Louisiana,Bienville,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,80.8,78.9
LA,Louisiana,St. Mary,DISABILITY,Any disability among adults,Disability,42.0,39.4
KY,Kentucky,Nicholas,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,26.1,24.0
KY,Kentucky,Fleming,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,25.9,24.0
LA,Louisiana,Sabine,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.2,34.8
MD,Maryland,Baltimore,CHOLSCREEN,Cholesterol screening among adults,Prevention,87.3,85.9
LA,Louisiana,Madison,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,34.8,29.0
LA,Louisiana,Washington,BPHIGH,High blood pressure among adults,Health Outcomes,42.1,39.8
MA,Massachusetts,Bristol,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,80.2,78.9
LA,Louisiana,Franklin,CHD,Coronary heart disease among adults,Health Outcomes,7.6,7.0
LA,Louisiana,Evangeline,STROKE,Stroke among adults,Health Outcomes,4.4,4.1
MD,Maryland,Anne Arundel,CHOLSCREEN,Cholesterol screening among adults,Prevention,88.9,85.9
LA,Louisiana,Lincoln,OBESITY,Obesity among adults,Health Outcomes,46.3,43.0
LA,Louisiana,Natchitoches,COGNITION,Cognitive disability among adults,Disability,20.4,20.4
LA,Louisiana,Allen,CHD,Coronary heart disease among adults,Health Outcomes,7.4,7.0
KS,Kansas,Wyandotte,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,17.6,17.1
LA,Louisiana,Richland,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,80.4,78.9
LA,Louisiana,Iberia,MHLTH,Frequent mental distress among adults,Health Status,21.7,21.0
LA,Louisiana,Webster,DIABETES,Diagnosed diabetes among adults,Health Outcomes,15.7,14.2
LA,Louisiana,East Carroll,STROKE,Stroke among adults,Health Outcomes,6.5,4.1
LA,Louisiana,East Carroll,BPHIGH,High blood pressure among adults,Health Outcomes,52.5,39.8
KY,Kentucky,Morgan,SLEEP,Short sleep duration among adults,Health Risk Behaviors,44.0,42.3
MI,Michigan,Bay,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,70.7,67.4
KY,Kentucky,Martin,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,33.3,24.0
MI,Michigan,Antrim,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,73.5,67.4
LA,Louisiana,Lafourche,DISABILITY,Any disability among adults,Disability,39.5,39.4
MD,Maryland,Talbot,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,79.9,78.6
LA,Louisiana,Evangeline,DEPRESSION,Depression among adults,Health Outcomes,28.9,28.4
MI,Michigan,Branch,DEPRESSION,Depression among adults,Health Outcomes,28.7,28.4
KY,Kentucky,Casey,SLEEP,Short sleep duration among adults,Health Risk Behaviors,45.9,42.3
LA,Louisiana,Orleans,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,31.4,29.0
KS,Kansas,Pottawatomie,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,69.3,67.4
MA,Massachusetts,Hampden,CHOLSCREEN,Cholesterol screening among adults,Prevention,86.5,85.9
LA,Louisiana,Acadia,HEARING,Hearing disability among adults,Disability,8.5,8.2
LA,Louisiana,Evangeline,BPHIGH,High blood pressure among adults,Health Outcomes,42.2,39.8
LA,Louisiana,Acadia,GHLTH,Fair or poor self-rated health status among adults,Health Status,27.9,26.9
MA,Massachusetts,Bristol,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,68.1,67.4
MD,Maryland,Montgomery,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,36.6,34.8
MD,Maryland,Howard,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.5,34.8
MI,Michigan,Allegan,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.6,7.6
LA,Louisiana,St. Helena,GHLTH,Fair or poor self-rated health status among adults,Health Status,30.5,26.9
LA,Louisiana,De Soto,COGNITION,Cognitive disability among adults,Disability,21.2,20.4
LA,Louisiana,Jefferson Davis,DEPRESSION,Depression among adults,Health Outcomes,29.3,28.4
LA,Louisiana,Claiborne,MHLTH,Frequent mental distress among adults,Health Status,23.0,21.0
ME,Maine,Somerset,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,79.5,78.6
MA,Massachusetts,Barnstable,CASTHMA,Current asthma among adults,Health Outcomes,11.8,11.8
LA,Louisiana,Washington,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,15.7,14.3
LA,Louisiana,East Feliciana,LONELINESS,Loneliness among adults,Health-Related Social Needs,38.5,38.1
LA,Louisiana,St. Landry,BPHIGH,High blood pressure among adults,Health Outcomes,43.4,39.8
KY,Kentucky,Marion,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,25.4,24.0
LA,Louisiana,Winn,COGNITION,Cognitive disability among adults,Disability,21.1,20.4
LA,Louisiana,Washington,MHLTH,Frequent mental distress among adults,Health Status,21.9,21.0
LA,Louisiana,Jackson,STROKE,Stroke among adults,Health Outcomes,4.2,4.1
LA,Louisiana,St. Charles,CHOLSCREEN,Cholesterol screening among adults,Prevention,86.2,85.9
MA,Massachusetts,Norfolk,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,64.6,63.1
LA,Louisiana,Allen,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,31.1,29.0
MA,Massachusetts,Norfolk,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,86.4,78.6
ME,Maine,Washington,ARTHRITIS,Arthritis among adults,Health Outcomes,30.1,28.0
LA,Louisiana,St. John the Baptist,DIABETES,Diagnosed diabetes among adults,Health Outcomes,14.9,14.2
LA,Louisiana,Richland,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,21.4,20.2
LA,Louisiana,Acadia,ARTHRITIS,Arthritis among adults,Health Outcomes,29.1,28.0
LA,Louisiana,Jefferson,CHOLSCREEN,Cholesterol screening among adults,Prevention,86.3,85.9
LA,Louisiana,St. Bernard,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,14.8,14.3
LA,Louisiana,St. Helena,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.4,9.1
LA,Louisiana,Jackson,GHLTH,Fair or poor self-rated health status among adults,Health Status,27.3,26.9
LA,Louisiana,St. Bernard,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,27.2,26.2
KY,Kentucky,Lawrence,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,30.9,24.0
LA,Louisiana,De Soto,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,13.7,13.4
LA,Louisiana,Morehouse,DIABETES,Diagnosed diabetes among adults,Health Outcomes,16.8,14.2
MD,Maryland,Baltimore,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,24.4,22.1
MD,Maryland,Somerset,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,29.1,29.0
LA,Louisiana,Catahoula,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,31.8,29.0
LA,Louisiana,Vermilion,COGNITION,Cognitive disability among adults,Disability,20.8,20.4
LA,Louisiana,Red River,OBESITY,Obesity among adults,Health Outcomes,43.9,43.0
LA,Louisiana,St. Landry,DIABETES,Diagnosed diabetes among adults,Health Outcomes,15.7,14.2
KY,Kentucky,Jackson,SLEEP,Short sleep duration among adults,Health Risk Behaviors,42.3,42.3
LA,Louisiana,Webster,MHLTH,Frequent mental distress among adults,Health Status,22.9,21.0
ME,Maine,Cumberland,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,68.5,63.1
LA,Louisiana,Sabine,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,29.5,29.0
LA,Louisiana,Avoyelles,PHLTH,Frequent physical distress among adults,Health Status,17.8,16.4
MA,Massachusetts,Dukes,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,81.8,78.6
LA,Louisiana,St. Martin,OBESITY,Obesity among adults,Health Outcomes,45.0,43.0
LA,Louisiana,Madison,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.4,34.8
LA,Louisiana,St. Charles,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,63.3,63.1
LA,Louisiana,Iberia,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,15.1,14.3
LA,Louisiana,Acadia,MOBILITY,Mobility disability among adults,Disability,18.8,17.75
KY,Kentucky,Johnson,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,25.8,24.0
LA,Louisiana,Evangeline,MOBILITY,Mobility disability among adults,Disability,19.3,17.75
LA,Louisiana,Franklin,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,23.4,20.8
LA,Louisiana,Concordia,SELFCARE,Self-care disability among adults,Disability,6.9,5.4
LA,Louisiana,Tensas,CHD,Coronary heart disease among adults,Health Outcomes,8.1,7.0
LA,Louisiana,St. Helena,STROKE,Stroke among adults,Health Outcomes,4.8,4.1
LA,Louisiana,St. John the Baptist,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,80.6,78.6
ME,Maine,Lincoln,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.6,7.6
MA,Massachusetts,Worcester,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,84.0,78.6
LA,Louisiana,Allen,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,21.6,20.8
LA,Louisiana,Iberia,GHLTH,Fair or poor self-rated health status among adults,Health Status,27.7,26.9
LA,Louisiana,Iberville,DISABILITY,Any disability among adults,Disability,39.5,39.4
LA,Louisiana,Bienville,COGNITION,Cognitive disability among adults,Disability,23.5,20.4
LA,Louisiana,Natchitoches,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,14.0,13.4
MI,Michigan,Calhoun,CASTHMA,Current asthma among adults,Health Outcomes,11.9,11.8
LA,Louisiana,Caldwell,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,30.2,29.0
LA,Louisiana,Richland,GHLTH,Fair or poor self-rated health status among adults,Health Status,28.4,26.9
LA,Louisiana,Tangipahoa,LONELINESS,Loneliness among adults,Health-Related Social Needs,39.5,38.1
LA,Louisiana,Catahoula,SELFCARE,Self-care disability among adults,Disability,6.1,5.4
LA,Louisiana,St. Mary,PHLTH,Frequent physical distress among adults,Health Status,16.8,16.4
MA,Massachusetts,Hampden,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,23.7,22.1
LA,Louisiana,St. Mary,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,28.9,26.2
LA,Louisiana,Bienville,MHLTH,Frequent mental distress among adults,Health Status,23.2,21.0
LA,Louisiana,Lafourche,DEPRESSION,Depression among adults,Health Outcomes,30.8,28.4
LA,Louisiana,Richland,COGNITION,Cognitive disability among adults,Disability,21.9,20.4
LA,Louisiana,St. Mary,BPHIGH,High blood pressure among adults,Health Outcomes,41.6,39.8
MA,Massachusetts,Dukes,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.7,7.6
MA,Massachusetts,Franklin,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,64.5,63.1
LA,Louisiana,St. James,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,81.6,78.9
KY,Kentucky,Webster,SLEEP,Short sleep duration among adults,Health Risk Behaviors,43.6,42.3
LA,Louisiana,Assumption,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,30.9,29.0
MD,Maryland,Howard,CHOLSCREEN,Cholesterol screening among adults,Prevention,90.4,85.9
LA,Louisiana,Union,DIABETES,Diagnosed diabetes among adults,Health Outcomes,14.3,14.2
LA,Louisiana,Lincoln,ARTHRITIS,Arthritis among adults,Health Outcomes,28.3,28.0
LA,Louisiana,Vernon,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,79.9,78.6
LA,Louisiana,Caddo,LONELINESS,Loneliness among adults,Health-Related Social Needs,39.0,38.1
LA,Louisiana,Franklin,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,30.6,29.0
MI,Michigan,Arenac,CASTHMA,Current asthma among adults,Health Outcomes,12.0,11.8
MD,Maryland,Anne Arundel,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,63.8,63.1
KY,Kentucky,Monroe,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,27.0,24.0
LA,Louisiana,Grant,BPHIGH,High blood pressure among adults,Health Outcomes,40.1,39.8
LA,Louisiana,St. Tammany,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,80.7,78.6
LA,Louisiana,Lincoln,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,13.9,13.4
LA,Louisiana,Lincoln,MOBILITY,Mobility disability among adults,Disability,18.2,17.75
LA,Louisiana,Calcasieu,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.8,78.9
LA,Louisiana,Washington,PHLTH,Frequent physical distress among adults,Health Status,16.8,16.4
LA,Louisiana,East Baton Rouge,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,64.8,62.5
ME,Maine,York,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,81.6,78.6
LA,Louisiana,Caldwell,VISION,Vision disability among adults,Disability,7.6,7.6
LA,Louisiana,St. Landry,ARTHRITIS,Arthritis among adults,Health Outcomes,28.7,28.0
LA,Louisiana,St. Bernard,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,20.4,20.2
LA,Louisiana,Madison,SLEEP,Short sleep duration among adults,Health Risk Behaviors,47.1,42.3
LA,Louisiana,Caldwell,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,25.2,24.0
LA,Louisiana,Red River,INDEPLIVE,Independent living disability among adults,Disability,13.5,11.6
LA,Louisiana,Orleans,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,64.3,62.5
LA,Louisiana,Acadia,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.8,9.1
KY,Kentucky,Hickman,SLEEP,Short sleep duration among adults,Health Risk Behaviors,42.3,42.3
KY,Kentucky,Lawrence,SLEEP,Short sleep duration among adults,Health Risk Behaviors,42.4,42.3
LA,Louisiana,Bossier,CHOLSCREEN,Cholesterol screening among adults,Prevention,85.9,85.9
LA,Louisiana,Bienville,MOBILITY,Mobility disability among adults,Disability,21.7,17.75
MD,Maryland,Somerset,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,20.4,20.2
LA,Louisiana,De Soto,STROKE,Stroke among adults,Health Outcomes,4.2,4.1
LA,Louisiana,Allen,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,22.3,22.1
LA,Louisiana,Assumption,COGNITION,Cognitive disability among adults,Disability,21.2,20.4
MD,Maryland,Somerset,SLEEP,Short sleep duration among adults,Health Risk Behaviors,45.4,42.3
LA,Louisiana,St. Helena,COGNITION,Cognitive disability among adults,Disability,22.3,20.4
LA,Louisiana,Red River,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,30.9,22.1
LA,Louisiana,Tensas,SELFCARE,Self-care disability among adults,Disability,7.7,5.4
LA,Louisiana,Tensas,PHLTH,Frequent physical distress among adults,Health Status,18.2,16.4
LA,Louisiana,Webster,MOBILITY,Mobility disability among adults,Disability,20.4,17.75
LA,Louisiana,Jackson,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,35.0,34.3
LA,Louisiana,East Carroll,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.4,34.8
LA,Louisiana,St. John the Baptist,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,27.5,26.2
LA,Louisiana,Madison,DISABILITY,Any disability among adults,Disability,47.3,39.4
MD,Maryland,Queen Anne's,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,81.5,78.6
