stateabbr,statedesc,locationname,measureid,measure,category,data_value,indicator_90th_percentile
SC,South Carolina,Lee,GHLTH,Fair or poor self-rated health status among adults,Health Status,28.1,26.9
SC,South Carolina,Orangeburg,DIABETES,Diagnosed diabetes among adults,Health Outcomes,15.7,14.2
SC,South Carolina,Georgetown,CHOLSCREEN,Cholesterol screening among adults,Prevention,85.9,85.9
OK,Oklahoma,Ottawa,MOBILITY,Mobility disability among adults,Disability,18.4,17.75
SC,South Carolina,Dillon,INDEPLIVE,Independent living disability among adults,Disability,13.9,11.6
SC,South Carolina,Marlboro,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,18.1,17.1
SC,South Carolina,Union,VISION,Vision disability among adults,Disability,7.8,7.6
TN,Tennessee,Bledsoe,MHLTH,Frequent mental distress among adults,Health Status,22.9,21.0
OK,Oklahoma,Latimer,SELFCARE,Self-care disability among adults,Disability,5.5,5.4
SD,South Dakota,Brookings,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,8.0,7.6
OK,Oklahoma,Johnston,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,35.8,34.3
TN,Tennessee,Campbell,CHD,Coronary heart disease among adults,Health Outcomes,7.1,7.0
OK,Oklahoma,Osage,CASTHMA,Current asthma among adults,Health Outcomes,12.3,11.8
SC,South Carolina,Allendale,SLEEP,Short sleep duration among adults,Health Risk Behaviors,46.1,42.3
TN,Tennessee,Benton,DISABILITY,Any disability among adults,Disability,39.5,39.4
SD,South Dakota,Buffalo,SELFCARE,Self-care disability among adults,Disability,6.9,5.4
OR,Oregon,Morrow,CASTHMA,Current asthma among adults,Health Outcomes,12.1,11.8
OK,Oklahoma,Hughes,BPHIGH,High blood pressure among adults,Health Outcomes,39.9,39.8
SC,South Carolina,Pickens,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.6,7.6
SD,South Dakota,Potter,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.7,7.6
OR,Oregon,Crook,DEPRESSION,Depression among adults,Health Outcomes,28.6,28.4
PA,Pennsylvania,Philadelphia,SLEEP,Short sleep duration among adults,Health Risk Behaviors,42.7,42.3
OK,Oklahoma,McCurtain,CASTHMA,Current asthma among adults,Health Outcomes,12.6,11.8
OR,Oregon,Tillamook,CASTHMA,Current asthma among adults,Health Outcomes,12.1,11.8
OK,Oklahoma,Nowata,DISABILITY,Any disability among adults,Disability,40.4,39.4
SC,South Carolina,Bamberg,VISION,Vision disability among adults,Disability,7.6,7.6
SC,South Carolina,Marlboro,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,25.2,20.2
SC,South Carolina,Dillon,DIABETES,Diagnosed diabetes among adults,Health Outcomes,17.3,14.2
OK,Oklahoma,Seminole,OBESITY,Obesity among adults,Health Outcomes,45.4,43.0
SC,South Carolina,Dillon,GHLTH,Fair or poor self-rated health status among adults,Health Status,30.2,26.9
OK,Oklahoma,Muskogee,MOBILITY,Mobility disability among adults,Disability,19.4,17.75
SC,South Carolina,Marion,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,26.0,20.2
SC,South Carolina,Lee,VISION,Vision disability among adults,Disability,8.6,7.6
