stateabbr,statedesc,locationname,locationid,totalpopulation,health_burden_score,burden_percentile,burden_category,indicator_count,indicator_completeness,top_indicator_1,top_indicator_2,top_indicator_3,OBESITY_z,DIABETES_z,BPHIGH_z,STROKE_z,COPD_z,DEPRESSION_z,CSMOKING_z,LPA_z,GHLTH_z,MHLTH_z,ACCESS2_z
GA,Georgia,Hancock,13141,8676,1.7829974351820252,98.10554803788904,Very High,11,1.0,STROKE,DIABETES,BPHIGH,1.574926295986406,3.0607732249191804,2.828131395416661,3.445485030541501,1.560046590084045,-1.694593003585673,1.7947546175111184,1.981772526511668,2.3671072985028685,1.0462390315522896,1.6483287795622117
WV,West Virginia,Webster,54101,8045,1.7829971837195806,98.07171853856563,Very High,11,1.0,MHLTH,DEPRESSION,COPD,1.0480353289461268,1.258248191619212,1.431525093653142,1.018323848929405,2.723749926200571,2.901443154950001,2.4158446563888605,2.0188803516711737,1.700884209584126,3.1957751464851043,-0.0997408875123366
MO,Missouri,Pemiscot,29155,14613,1.7800614905351024,98.03788903924222,Very High,11,1.0,COPD,CSMOKING,LPA,1.532775018623183,1.6015862932001586,1.4100388428567798,2.1509990670150487,2.78840011154038,0.7913133463141254,2.528770118002996,2.501282078744767,2.1736876920425887,1.6960987872296525,0.4057250403164484
OK,Oklahoma,Adair,40001,19627,1.778420180951033,98.0040595399188,Very High,11,1.0,CSMOKING,LPA,STROKE,1.785682682802518,1.730338081293013,1.495983846042227,2.1509990670150487,2.1418982581423087,0.8491251218931903,2.7828524066348,2.3528507781067387,1.9157948834288816,1.846066423155198,0.5110304419474454
GA,Georgia,Atkinson,13003,8293,1.7756765374936363,97.9702300405954,Very High,11,1.0,ACCESS2,GHLTH,STROKE,1.3220186318070717,2.288262496362051,1.4744975952458648,2.312809812455856,2.012597887462694,-0.5383574920043717,1.6253664250899165,2.2971890403674773,2.4745626354252472,1.2461958794530177,3.017299000765171
MS,Mississippi,Leflore,28083,26378,1.768307676093361,97.93640054127198,Very High,11,1.0,STROKE,BPHIGH,DIABETES,1.3220186318070717,3.361194063802508,3.365287665325707,3.769106521423112,1.6893469607636586,-1.752404779164738,1.4842095980722478,2.6126055542232884,2.453071568040772,0.4463684878501093,0.7005801648832398
LA,Louisiana,Red River,22081,7356,1.7652448604405426,97.90257104194858,Very High,11,1.0,STROKE,BPHIGH,GHLTH,1.3220186318070717,2.1165934455715782,2.226516373118529,2.312809812455856,2.012597887462694,1.080372224209451,2.077068271546456,2.037434264250928,2.1307055572736378,2.0960124830311067,0.0055645141186602
MS,Mississippi,Noxubee,28103,9914,1.7506959779960949,97.86874154262516,Very High,11,1.0,STROKE,BPHIGH,DIABETES,1.869985237528962,2.932021436826325,3.0429939033802795,3.445485030541501,1.560046590084045,-1.5500635646380103,1.5689036942828485,2.5198359913245207,2.324125163733917,0.696314547726018,0.8480077271666353
NC,North Carolina,Robeson,37155,117365,1.7492685555577303,97.83491204330176,Very High,11,1.0,STROKE,DIABETES,OBESITY,2.207195456434741,2.245345233664432,2.0116538651549107,3.121863539659888,2.1418982581423087,-0.1914868385299814,1.907680079125254,1.462262974278567,2.1307055572736378,1.1462174555026527,1.058618530428629
WV,West Virginia,Roane,54087,13743,1.7478606950827411,97.80108254397834,Very High,11,1.0,MHLTH,DEPRESSION,COPD,0.7740520260851806,1.429917242409685,1.5389563476349513,1.018323848929405,2.723749926200571,2.843631379370935,2.33115056017826,1.8333412258736383,1.808339546506504,3.0458075105595586,-0.1208019678385359
LA,Louisiana,Webster,22119,35238,1.7449692898444764,97.76725304465494,Very High,11,1.0,STROKE,MHLTH,COPD,1.4906237412599617,1.9449243947811043,2.11908511913672,2.312809812455856,2.1418982581423087,1.398336989894308,1.9923741753358544,1.851895138453392,2.001759152966784,2.1460016950062872,-0.2050462891433334
SD,South Dakota,Dewey,46041,5208,1.7384873901168965,97.73342354533152,Very High,11,1.0,CSMOKING,STROKE,DIABETES,1.3220186318070717,2.932021436826325,1.044772579318628,3.121863539659888,2.077248072802501,-0.5961692675834366,3.77095019575848,1.8333412258736383,2.02325022035126,1.1462174555026527,0.4478472009688474
LA,Louisiana,Avoyelles,22009,38408,1.732703930048994,97.69959404600812,Very High,11,1.0,BPHIGH,MHLTH,COPD,1.174489161035794,1.730338081293013,2.269488874711253,2.1509990670150487,2.206548443482116,1.398336989894308,2.077068271546456,1.7776794881343785,2.02325022035126,2.245980118956652,0.0055645141186602
TX,Texas,Cochran,48079,2509,1.731948657793359,97.66576454668473,Very High,11,1.0,ACCESS2,GHLTH,LPA,1.0901866063093482,2.545766072547761,0.8084238205586476,1.8273775761334368,1.172145478045203,-0.2203927263195133,0.8631195591945047,2.594051641643534,3.0118393200371365,0.8462821836515635,4.512635703925326
