year,stateabbr,statedesc,locationname,locationid,totalpopulation,indicator_count,indicator_completeness,health_burden_score,burden_rank,burden_percentile,burden_category,high_burden_flag,very_high_burden_flag,priority_flag
2023,GA,Georgia,Harris,13145,36654,11,1.0,-0.8944538499952887,2623.0,11.299052774018945,Very Low,False,False,False
2023,SD,South Dakota,Campbell,46021,1340,11,1.0,-0.8958188028097589,2624.0,11.265223274695536,Very Low,False,False,False
2023,CA,California,Mono,6051,13066,11,1.0,-0.8961482818692335,2625.0,11.231393775372124,Very Low,False,False,False
2023,MD,Maryland,Talbot,24041,37823,11,1.0,-0.8961558646971471,2626.0,11.197564276048714,Very Low,False,False,False
2023,CT,Connecticut,Greater Bridgeport,9120,327651,11,1.0,-0.8971633285685414,2627.0,11.163734776725304,Very Low,False,False,False
2023,AK,Alaska,Fairbanks North Star,2090,94840,11,1.0,-0.8972452924798489,2628.0,11.129905277401894,Very Low,False,False,False
2023,IA,Iowa,Grundy,19075,12384,11,1.0,-0.8975057253364376,2629.0,11.096075778078484,Very Low,False,False,False
2023,MO,Missouri,Platte,29165,111940,11,1.0,-0.8980483266701381,2630.0,11.062246278755074,Very Low,False,False,False
2023,NY,New York,Monroe,36055,748482,11,1.0,-0.9000121296572581,2631.0,11.028416779431664,Very Low,False,False,False
2023,IL,Illinois,Woodford,17203,38285,11,1.0,-0.9012576913096304,2632.0,10.994587280108254,Very Low,False,False,False
2023,ND,North Dakota,Bowman,38011,2867,11,1.0,-0.9024751123751312,2633.0,10.960757780784844,Very Low,False,False,False
2023,CT,Connecticut,Capitol,9110,975328,11,1.0,-0.9034144868765368,2634.0,10.926928281461434,Very Low,False,False,False
2023,MN,Minnesota,Le Sueur,27079,29255,11,1.0,-0.90776561673148,2635.0,10.893098782138026,Very Low,False,False,False
2023,NE,Nebraska,Pierce,31139,7299,11,1.0,-0.9084812357868792,2636.0,10.859269282814614,Very Low,False,False,False
2023,IL,Illinois,Cook,17031,5087072,11,1.0,-0.909843200615742,2637.0,10.825439783491204,Very Low,False,False,False
2023,MN,Minnesota,Sherburne,27141,102206,11,1.0,-0.9106124466762612,2638.0,10.791610284167795,Very Low,False,False,False
2023,SD,South Dakota,Moody,46101,6450,11,1.0,-0.9106584618521768,2639.0,10.757780784844384,Very Low,False,False,False
2023,SD,South Dakota,Potter,46107,2413,11,1.0,-0.9114303992636934,2640.0,10.723951285520975,Very Low,False,False,False
2023,FL,Florida,Palm Beach,12099,1533801,11,1.0,-0.9115024677546288,2641.0,10.690121786197563,Very Low,False,False,False
2023,OR,Oregon,Clackamas,41005,423173,11,1.0,-0.9139687261686512,2642.0,10.656292286874152,Very Low,False,False,False
2023,NE,Nebraska,Stanton,31167,5856,11,1.0,-0.9143116927310722,2643.0,10.622462787550743,Very Low,False,False,False
2023,FL,Florida,Indian River,12061,169795,11,1.0,-0.9149121035427608,2644.0,10.588633288227332,Very Low,False,False,False
